,preco,marca,status
2431,434,Distrito Federal,FAZER
2432,435,Distrito Federal,FAZER
2433,436,Distrito Federal,FAZER
2434,437,Distrito Federal,FAZER
2435,438,Distrito Federal,FAZER
2436,439,Distrito Federal,FAZER
2437,440,Distrito Federal,FAZER
2438,441,Distrito Federal,FAZER
2439,442,Distrito Federal,FAZER
2440,443,Distrito Federal,FAZER
2441,444,Distrito Federal,FAZER
2442,445,Distrito Federal,FAZER
2443,446,Distrito Federal,FAZER
2444,447,Distrito Federal,FAZER
2445,448,Distrito Federal,FAZER
2446,449,Distrito Federal,FAZER
2447,450,Distrito Federal,FAZER
2448,451,Distrito Federal,FAZER
2449,452,Distrito Federal,FAZER
2450,453,Distrito Federal,FAZER
2451,454,Distrito Federal,FAZER
2452,455,Distrito Federal,FAZER
2453,456,Distrito Federal,FAZER
2454,457,Distrito Federal,FAZER
2455,458,Distrito Federal,FAZER
2456,459,Distrito Federal,FAZER
2457,460,Distrito Federal,FAZER
2458,461,Distrito Federal,FAZER
2459,462,Distrito Federal,FAZER
2460,463,Distrito Federal,FAZER
2461,464,Distrito Federal,FAZER
2462,465,Distrito Federal,FAZER
2463,466,Distrito Federal,FAZER
2464,467,Distrito Federal,FAZER
2465,468,Distrito Federal,FAZER
2466,469,Distrito Federal,FAZER
2467,470,Distrito Federal,FAZER
2468,471,Distrito Federal,FAZER
2469,472,Distrito Federal,FAZER
2470,473,Distrito Federal,FAZER
2471,474,Distrito Federal,FAZER
2472,475,Distrito Federal,FAZER
2473,476,Distrito Federal,FAZER
2474,477,Distrito Federal,FAZER
2475,478,Distrito Federal,FAZER
2476,479,Distrito Federal,FAZER
2477,480,Distrito Federal,FAZER
2478,481,Distrito Federal,FAZER
2479,482,Distrito Federal,FAZER
2480,483,Distrito Federal,FAZER
2481,484,Distrito Federal,FAZER
2482,485,Distrito Federal,FAZER
2483,486,Distrito Federal,FAZER
2484,487,Distrito Federal,FAZER
2485,488,Distrito Federal,FAZER
2486,489,Distrito Federal,FAZER
2487,490,Distrito Federal,FAZER
2488,491,Distrito Federal,FAZER
2489,492,Distrito Federal,FAZER
2490,493,Distrito Federal,FAZER
2491,494,Distrito Federal,FAZER
2492,495,Distrito Federal,FAZER
2493,496,Distrito Federal,FAZER
2494,497,Distrito Federal,FAZER
2495,498,Distrito Federal,FAZER
2496,499,Distrito Federal,FAZER
