Unnamed: 0,preco,cidade,status
3521,525,Espírito Santo,FAZER
3522,526,Espírito Santo,FAZER
3523,527,Espírito Santo,FAZER
3524,528,Espírito Santo,FAZER
3525,529,Espírito Santo,FAZER
3526,530,Espírito Santo,FAZER
3527,531,Espírito Santo,FAZER
3528,532,Espírito Santo,FAZER
3529,533,Espírito Santo,FAZER
3530,534,Espírito Santo,FAZER
3531,535,Espírito Santo,FAZER
3532,536,Espírito Santo,FAZER
3533,537,Espírito Santo,FAZER
3534,538,Espírito Santo,FAZER
3535,539,Espírito Santo,FAZER
3536,540,Espírito Santo,FAZER
3537,541,Espírito Santo,FAZER
3538,542,Espírito Santo,FAZER
3539,543,Espírito Santo,FAZER
3540,544,Espírito Santo,FAZER
3541,545,Espírito Santo,FAZER
3542,546,Espírito Santo,FAZER
3543,547,Espírito Santo,FAZER
3544,548,Espírito Santo,FAZER
3545,549,Espírito Santo,FAZER
3546,550,Espírito Santo,FAZER
3547,551,Espírito Santo,FAZER
3548,552,Espírito Santo,FAZER
3549,553,Espírito Santo,FAZER
3550,554,Espírito Santo,FAZER
3551,555,Espírito Santo,FAZER
3552,556,Espírito Santo,FAZER
3553,557,Espírito Santo,FAZER
3554,558,Espírito Santo,FAZER
3555,559,Espírito Santo,FAZER
3556,560,Espírito Santo,FAZER
3557,561,Espírito Santo,FAZER
3558,562,Espírito Santo,FAZER
3559,563,Espírito Santo,FAZER
3560,564,Espírito Santo,FAZER
3561,565,Espírito Santo,FAZER
3562,566,Espírito Santo,FAZER
3563,567,Espírito Santo,FAZER
3564,568,Espírito Santo,FAZER
3565,569,Espírito Santo,FAZER
3566,570,Espírito Santo,FAZER
3567,571,Espírito Santo,FAZER
3568,572,Espírito Santo,FAZER
3569,573,Espírito Santo,FAZER
3570,574,Espírito Santo,FAZER
3571,575,Espírito Santo,FAZER
3572,576,Espírito Santo,FAZER
3573,577,Espírito Santo,FAZER
3574,578,Espírito Santo,FAZER
3575,579,Espírito Santo,FAZER
3576,580,Espírito Santo,FAZER
3577,581,Espírito Santo,FAZER
3578,582,Espírito Santo,FAZER
3579,583,Espírito Santo,FAZER
3580,584,Espírito Santo,FAZER
3581,585,Espírito Santo,FAZER
